DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775750587,853385925,361,18,,4/9/2026,11:03:07,16786.502,529.84381,2185.127,39.2812,54.534,28.4993,39.7479,0.00857639,11.2031,54.0807,-1138.25,0,14.1226,63
DATA,1775750588,853385925,365,18,,4/9/2026,11:03:08,16788.918,532.13782,2184.634,39.2808,54.5486,28.486,39.7481,0.00852382,11.2017,54.1009,-1163.25,0,14.1214,61
DATA,1775750589,853385925,369,18,,4/9/2026,11:03:09,16439.557,885.91943,2160.7725,39.2804,54.564,28.4736,39.8966,0.0176174,-1225.88,54.1212,-345,0.188506,14.1206,40
DATA,1775750590,853385925,373,18,,4/9/2026,11:03:10,16120.236,1214.0599,2137.0898,39.282,54.5787,28.4781,39.9544,0.026853,11.2593,54.1411,999.5,0.188506,14.1191,224
DATA,1775750591,853385925,377,19,,4/9/2026,11:03:11,16138.615,1156.9768,2133.762,39.2833,54.5923,28.4864,39.9414,0.0275729,11.318,54.1592,422,0.188506,14.1194,129
DATA,1775750592,853385925,381,19,,4/9/2026,11:03:12,16729.281,571.88696,2188.2842,39.2808,54.6068,28.4872,39.9379,0.0066259,11.3502,54.1793,-210.75,0.188506,14.1187,194
DATA,1775750593,853385925,385,19,,4/9/2026,11:03:13,16722.066,690.25116,2169.7061,39.2816,54.6216,28.4802,39.9967,0.0117341,11.3499,54.1996,-267.75,0.283581,14.1187,181
DATA,1775750594,853385925,389,18,,4/9/2026,11:03:14,16685.201,1014.6562,2130.0874,39.282,54.6365,28.481,40.0796,0.0299943,11.3763,54.2197,625.25,0.315273,14.1163,2
DATA,1775750595,853053092,393,19,,4/9/2026,11:03:15,17077.23,919.29187,2145.5786,39.2799,54.6505,28.4872,40.0679,0.0249898,11.3758,54.2404,93.75,0.315273,14.1151,38
DATA,1775750596,853053092,397,19,,4/9/2026,11:03:16,17217.521,822.97375,2159.7146,39.2812,54.665,28.486,40.0647,0.0197761,11.3821,54.2603,-262.25,0.315273,14.1136,40
DATA,1775750597,853053092,401,19,,4/9/2026,11:03:17,17465.338,566.42584,2186.9382,39.2808,54.6791,28.4794,40.0643,0.00654535,11.3845,54.2804,-560.5,0.315273,14.1128,155
DATA,1775750598,853053092,405,18,,4/9/2026,11:03:18,17180.469,807.72241,2150.6084,39.2816,54.6931,28.4731,40.1283,0.0195448,11.3869,54.3003,-383.5,0.395099,14.1979,108
DATA,1775750599,853053092,409,18,,4/9/2026,11:03:19,16932.209,1082.8007,2115.5259,39.2808,54.7066,28.4715,40.1512,0.0337871,11.3944,54.3189,188.5,0.395099,14.2199,67
DATA,1775750600,853053092,413,19,,4/9/2026,11:03:20,17515.572,727.75739,2170.3389,39.2812,54.7196,28.4744,40.145,0.0139133,11.3937,54.3369,-43,0.395099,14.2956,155
DATA,1775750601,853053092,417,19,,4/9/2026,11:03:21,17674.635,562.99457,2180.979,39.282,54.7335,28.4756,40.1433,0.00562968,11.3935,54.3542,177.25,0.411207,14.3313,47
DATA,1775750602,852722883,421,18,,4/9/2026,11:03:22,17275.727,961.10236,2125.0967,39.2808,54.7466,28.4823,40.2108,0.0278497,-1320.39,54.3701,850,0.459531,14.3658,251
DATA,1775750603,852722883,425,19,,4/9/2026,11:03:23,16965.176,1104.2645,2104.5127,39.2812,54.7611,28.4935,40.212,0.0355625,11.3753,54.3836,1480,0.459531,14.4168,183
DATA,1775750604,852722883,429,19,,4/9/2026,11:03:24,17565.17,590.10077,2185.6699,39.2799,54.7734,28.52,40.2085,0.00672636,11.3753,54.3953,1383.5,0.459531,14.4282,24
DATA,1775750605,852722883,433,19,,4/9/2026,11:03:25,17452.783,547.67291,2177.9858,39.2804,54.7872,28.5553,40.2179,0.00508505,11.3751,54.4045,1157.75,0.484064,14.4565,229
DATA,1775750606,852722883,437,18,,4/9/2026,11:03:26,17102.109,945.46375,2115.2083,39.2808,54.7993,28.5909,40.2631,0.0284426,11.368,54.4124,1337.5,0.508597,14.4706,57
DATA,1775750607,852722883,441,19,,4/9/2026,11:03:27,17676.889,791.36987,2137.968,39.2816,54.8111,28.6312,40.2589,0.023061,11.3484,54.4187,1078.25,0.508597,14.4843,93
DATA,1775750608,852722883,445,19,,4/9/2026,11:03:28,18031.695,470.6778,2172.9233,39.2816,54.8214,28.6594,40.257,0.00693729,11.3487,54.4231,898.5,0.508597,14.4996,53
DATA,1775750609,852722883,449,18,,4/9/2026,11:03:29,18068.842,463.23636,2170.9187,39.2824,54.8314,28.6797,40.2645,0.00672598,11.3484,54.4269,1037.5,0.522392,14.5071,183
DATA,1775750610,852387905,453,19,,4/9/2026,11:03:30,17488.736,918.15405,2113.3228,39.2799,54.8397,28.6967,40.2771,0.0297734,11.3485,54.4298,1222.5,0.526991,14.5157,140
DATA,1775750611,852387905,457,19,,4/9/2026,11:03:31,17939.293,491.50546,2175.5354,39.2808,54.8465,28.7171,40.2756,0.00767874,11.3486,54.4321,1273,0.526991,14.5188,88
DATA,1775750612,852387905,461,18,,4/9/2026,11:03:32,17742.109,466.75504,2170.2961,39.2812,54.8531,28.7411,40.275,0.00665925,11.3499,54.4335,1153.25,0.526991,14.522,91
DATA,1775750613,852387905,465,18,,4/9/2026,11:03:33,17365.256,606.93262,2149.0474,39.2808,54.8587,28.7606,40.2892,0.0138695,11.3507,54.4344,1259.75,0.545382,14.5263,181
DATA,1775750614,852387905,469,19,,4/9/2026,11:03:34,17230.006,787.45959,2135.5791,39.2812,54.8629,28.7797,40.2945,0.0227444,11.351,54.435,1320.5,0.545382,14.5287,22
DATA,1775750615,852387905,473,19,,4/9/2026,11:03:35,17509.445,471.87213,2171.7317,39.2804,54.8658,28.8033,40.2932,0.00679602,11.3506,54.4352,1069.5,0.545382,14.531,100
DATA,1775750616,852387905,477,18,,4/9/2026,11:03:36,17514.475,465.93103,2169.6628,39.2828,54.868,28.817,40.2928,0.0066067,11.3506,54.4352,1082.25,0.549979,14.529,40
DATA,1775750617,852056980,481,18,,4/9/2026,11:03:37,17251.395,741.4881,2130.2002,39.2804,54.8701,28.8286,40.3116,0.0209154,11.3498,54.4346,1060.75,0.56377,14.529,241
DATA,1775750618,852056980,485,19,,4/9/2026,11:03:38,17266.008,642.96893,2157.6082,39.2799,54.8713,28.8427,40.3123,0.0153104,11.3508,54.4344,1215.25,0.56377,14.5279,118
DATA,1775750619,852056980,489,19,,4/9/2026,11:03:39,17390.09,467.6691,2171.3574,39.2799,54.872,28.8573,40.312,0.00674938,11.3513,54.4337,1084.25,0.56377,14.5283,243
DATA,1775750620,852056980,493,18,,4/9/2026,11:03:40,17528.504,464.81046,2170.4329,39.2816,54.8724,28.8714,40.315,0.00668375,11.3497,54.4329,1079.75,0.572962,14.5279,173
DATA,1775750621,852056980,497,19,,4/9/2026,11:03:41,17199.447,880.70844,2112.0786,39.282,54.8718,28.8846,40.3324,0.0280414,11.3491,54.4323,1120.25,0.582155,14.5271,95
DATA,1775750622,852056980,501,19,,4/9/2026,11:03:42,17374.293,805.56384,2129.7759,39.2812,54.8715,28.8983,40.3309,0.0223211,11.4003,54.4316,989.75,0.582155,14.5251,104
DATA,1775750623,852056980,505,19,,4/9/2026,11:03:43,17886.225,488.09589,2166.2114,39.2808,54.8707,28.9066,40.3302,0.00628928,11.3998,54.4308,918.5,0.582155,14.5243,131
DATA,1775750624,852056980,509,18,,4/9/2026,11:03:44,18040.838,481.11707,2164.6462,39.2808,54.8697,28.9174,40.33,0.0061939,11.4,54.43,913.75,0.579091,14.5239,13
DATA,1775750625,851727008,513,18,,4/9/2026,11:03:45,18075.672,481.73721,2164.4839,39.2812,54.8687,28.9249,40.3175,0.00618423,11.3995,54.4293,859.5,0.569899,14.5232,145
DATA,1775750626,851727008,517,18,,4/9/2026,11:03:46,17991.516,480.71286,2164.3159,39.2804,54.8678,28.9328,40.3164,0.00617178,11.3994,54.4287,832.75,0.569899,14.5224,203
DATA,1775750627,851727008,521,18,,4/9/2026,11:03:47,17801.961,481.47363,2164.2661,39.2808,54.8668,28.9398,40.3079,0.00614766,11.4003,54.4281,746.5,0.557641,14.5224,113
DATA,1775750628,851727008,525,18,,4/9/2026,11:03:48,17688.318,481.43204,2164.0593,39.2799,54.8658,28.9464,40.3043,0.00611624,11.4004,54.4273,708.25,0.557641,14.5196,161
DATA,1775750629,851727008,529,18,,4/9/2026,11:03:49,17576.711,481.97504,2163.8572,39.2824,54.8655,28.9531,40.2993,0.0060705,11.4009,54.4268,815.75,0.548447,14.5185,135
DATA,1775750630,851727008,533,19,,4/9/2026,11:03:50,17139.422,866.45569,2104.7666,39.2816,54.8649,28.9605,40.2913,0.0278393,11.3964,54.4264,778,0.545382,14.5157,239
DATA,1775750631,851727008,537,19,,4/9/2026,11:03:51,17797.119,479.5141,2174.071,39.282,54.8645,28.9668,40.2924,0.00892038,11.3919,54.426,605,0.545382,14.5149,72
DATA,1775750632,851393938,541,19,,4/9/2026,11:03:52,18091.207,433.61984,2166.5469,39.2804,54.8639,28.9738,40.2928,0.00752016,11.3905,54.4256,465.5,0.545382,14.5145,123
DATA,1775750633,851393938,545,16,,4/9/2026,11:03:53,18000.992,435.34686,2166.3442,39.2816,54.8639,28.9805,40.2922,0.00746938,11.3903,54.4252,608.5,0.544233,14.5106,109
DATA,1775750634,851393938,549,16,,4/9/2026,11:03:54,17898.01,436.8472,2166.2283,39.2816,54.8631,28.9875,40.2892,0.00740504,11.3913,54.4252,657.5,0.541168,14.5086,25
DATA,1775750635,851393938,553,16,,4/9/2026,11:03:55,17812.707,441.88953,2166.4104,39.2841,54.8635,28.9941,40.2863,0.00733556,11.391,54.4252,824.5,0.538102,14.5075,59
DATA,1775750636,851393938,557,16,,4/9/2026,11:03:56,17615.215,439.77625,2165.9539,39.2812,54.8639,29.0004,40.2834,0.00724075,11.3919,54.4252,601,0.535612,14.5071,5
DATA,1775750637,851393938,561,16,,4/9/2026,11:03:57,17543.969,439.14722,2165.2732,39.2795,54.8641,29.0074,40.283,0.00721576,11.3927,54.4252,445.75,0.53542,14.5063,65
DATA,1775750638,851393938,565,16,,4/9/2026,11:03:58,17368.463,440.05185,2164.342,39.2808,54.8647,29.0145,40.2836,0.00714436,11.3937,54.4252,562,0.53542,14.5059,165
DATA,1775750639,851393938,569,16,,4/9/2026,11:03:59,17096.07,440.39706,2163.241,39.2804,54.8653,29.0199,40.2836,0.00703022,11.3948,54.4252,523.5,0.53542,14.5051,199
DATA,1775750640,851054906,573,16,,4/9/2026,11:04:00,17030.893,440.59518,2163.1489,39.2808,54.8655,29.0269,40.2836,0.00698394,11.3947,54.426,524.5,0.53542,14.5043,2
DATA,1775750641,851054906,577,16,,4/9/2026,11:04:01,17035.609,441.24042,2163.1765,39.2804,54.8664,29.0327,40.2836,0.00696421,11.3954,54.426,388,0.53542,14.5047,137
DATA,1775750642,851054906,581,16,,4/9/2026,11:04:02,17164.109,440.90942,2162.6895,39.2812,54.8674,29.0389,40.2836,0.0069811,11.3946,54.4264,343,0.53542,14.5071,149
DATA,1775750643,851054906,585,16,,4/9/2026,11:04:03,17287.16,439.62985,2162.3918,39.2808,54.8686,29.0464,40.2836,0.00699973,11.394,54.4268,248.5,0.53542,14.5063,239
